case_id,sample_variant_id,sample_variant_slug,effective_contract_sample_count,unique_contract_sample_count,compiled_sample_repeats,train_payload_count,train_payload_labels,block_count,payload,seed,case_root,status,result_class,failure_reasons,exact_gate_success,rs_gate_success,accepted_under_exact_gate,accepted_under_rs_gate,verifier_success,decoded_payload,decoded_payload_correct,block_count_correct,slot_bucket_accuracy,symbol_error_count,erasure_count,rs_correctable_under_2E_plus_S_lt_d,rs_recovered_payload,exact_slot_rate,bucket_correct_rate,match_ratio,final_loss,normalized_L_set_mean,target_bucket_mass_mean,target_bucket_mass_min,slot_margin_mean,slot_margin_min,checkpoint_selection_metric,checkpoint_selection_best_step,checkpoint_selection_best_metric_value,contract_hash_status,contract_hash_missing_fields,contract_hash_mismatch_fields,model_id_hash,tokenizer_id_hash,block_count_hash,fields_per_block_hash,field_order_hash,codebook_hash,bucket_partition_hash,payload_map_hash,train_contract_hash,eval_contract_hash,prompt_family_hash,generation_config_hash,verifier_contract_hash,rs_config_hash,adapter_checkpoint_hash,train_summary_path,eval_summary_path,training_health_path,compiled_verifier_report_path,latest_eval_input_path
S16_U00_s17,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U00,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U00_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U03_s17,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U03,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U03_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U12_s17,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U12,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U12_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U15_s17,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U15,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U15_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U00_s23,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U00,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U00_s23,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U03_s23,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U03,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U03_s23,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U12_s23,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U12,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U12_s23,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U15_s23,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U15,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U15_s23,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U00_s29,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U00,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U00_s29,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U03_s29,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U03,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U03_s29,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U12_s29,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U12,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U12_s29,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S16_U15_s29,S16,s16,16,16,1,4,"[""U00"", ""U03"", ""U12"", ""U15""]",2,U15,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s16/U15_s29,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S32_U00_s17,S32,s32,32,32,1,8,"[""U00"", ""U01"", ""U02"", ""U03"", ""U04"", ""U05"", ""U12"", ""U15""]",2,U00,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s32/U00_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S32_U03_s17,S32,s32,32,32,1,8,"[""U00"", ""U01"", ""U02"", ""U03"", ""U04"", ""U05"", ""U12"", ""U15""]",2,U03,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s32/U03_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
S32_U12_s17,S32,s32,32,32,1,8,"[""U00"", ""U01"", ""U02"", ""U03"", ""U04"", ""U05"", ""U12"", ""U15""]",2,U12,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g4_train_signal_scale_v1/final/s32/U12_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
